State,Population
Andaman and Nicobar,380581
Andhra Pradesh,84580777
Arunachal Pradesh,1383727
Assam,31205576
Bihar,104099452
Chandigarh,1055450
Chhattisgarh,25545198
Daman and Diu,243247
Delhi,16787941
Dadra and Nagar Haveli,343709
Goa,1458545
Gujarat,60439692
Himachal Pradesh,6864602
Haryana,25351462
Jharkhand,32988134
Jammu and Kashmir,12541302
Karnataka,61095297
Kerala,33406061
Lakshadweep,64473
Maharashtra,112374333
Meghalaya,2966889
Manipur,2855794
Madhya Pradesh,72626809
Mizoram,1978502
Nagaland,1978502
Odisha,41974218
Punjab,27743338
Puducherry,1247953
Rajasthan,68548437
Sikkim,610577
Telangana,35003674
Tamil Nadu,72147030
Tripura,3673917
Uttar Pradesh,199812341
Uttarakhand,10086292
West Bengal,91276115
